iter	Logloss
0	0.6579567684
1	0.6303035458
2	0.6083138611
3	0.5890488122
4	0.5740760662
5	0.5619448511
6	0.5519487255
7	0.5463697513
8	0.5435516704
9	0.5373209383
10	0.5321907709
11	0.5280311629
12	0.5238932305
13	0.5216057999
14	0.5203499171
15	0.5191724848
16	0.5163803069
17	0.5145392128
18	0.5122122901
19	0.5110187546
20	0.5090632933
21	0.5083801181
22	0.5074494182
23	0.5070840122
24	0.5054276246
25	0.5047474361
26	0.5038273512
27	0.5030912592
28	0.5023941327
29	0.5018318825
30	0.501434486
31	0.5011366904
32	0.5008129426
33	0.500394004
34	0.5000760793
35	0.4996800211
36	0.499354709
37	0.4988685413
38	0.4985083783
39	0.4980266028
40	0.4977503532
41	0.4974444203
42	0.49699354
43	0.496644809
44	0.4962618132
45	0.4958750127
46	0.4954340362
47	0.4951985962
48	0.4947777313
49	0.4944690902
50	0.494233526
51	0.4938284719
52	0.493635923
53	0.4934657127
54	0.4930029418
55	0.4928049159
56	0.4925503179
57	0.4923458045
58	0.4920144979
59	0.4917851804
60	0.4914082425
61	0.4909624476
62	0.4907476815
63	0.4904839398
64	0.4902929939
65	0.4900022025
66	0.4897875115
67	0.4895039853
68	0.4892320504
69	0.488941287
70	0.4887235265
71	0.4885807335
72	0.4883471106
73	0.4880490707
74	0.4877815129
75	0.4875648461
76	0.4873872357
77	0.4872058745
78	0.4868719284
79	0.4866925666
80	0.4864727952
81	0.4861580714
82	0.4859371811
83	0.4855823453
84	0.4854211397
85	0.4851139317
86	0.4848719948
87	0.4845671047
88	0.4844289708
89	0.4842206079
90	0.4839176898
91	0.4836000166
92	0.4834154292
93	0.4832000032
94	0.482979024
95	0.482732516
96	0.4824648672
97	0.4821937389
98	0.4819535731
99	0.4817662531
100	0.4813507334
101	0.4811229711
102	0.4809810053
103	0.4808686603
104	0.4806128337
105	0.4804079616
106	0.4801171255
107	0.4798515143
108	0.4796989652
109	0.4795591204
110	0.4793790568
111	0.4792388944
112	0.4790390343
113	0.4788687909
114	0.4786586009
115	0.4781742556
116	0.4779076419
117	0.4776982583
118	0.4774821635
119	0.4772188233
120	0.4769727503
121	0.4768451898
122	0.4765246237
123	0.4763756273
124	0.4762374121
125	0.4761084922
126	0.4759259259
127	0.4757877531
128	0.4754411495
129	0.4752772112
130	0.4751771007
131	0.4748007911
132	0.4746752067
133	0.4744706244
134	0.4742934548
135	0.4741252952
136	0.4739760453
137	0.4738362183
138	0.473661742
139	0.4734481945
140	0.4732967989
141	0.47309769
142	0.4727800992
143	0.4725730305
144	0.4722103975
145	0.4719693176
146	0.4716936008
147	0.4714905996
148	0.471337226
149	0.4710770469
150	0.4708928942
151	0.470702816
152	0.4704872986
153	0.4702643505
154	0.4700342946
155	0.4696808794
156	0.4694933464
