iter	Passed	Remaining
0	17	8616
1	27	6748
2	40	6756
3	51	6402
4	61	6083
5	69	5686
6	79	5580
7	87	5367
8	95	5230
9	103	5088
10	112	4998
11	119	4869
12	128	4819
13	136	4721
14	144	4673
15	151	4574
16	159	4528
17	166	4447
18	173	4404
19	181	4346
20	188	4295
21	195	4253
22	211	4380
23	224	4454
24	234	4452
25	246	4498
26	257	4507
27	265	4482
28	276	4492
29	284	4455
30	294	4460
31	305	4462
32	310	4394
33	317	4351
34	324	4312
35	332	4285
36	341	4271
37	353	4292
38	360	4256
39	368	4233
40	375	4200
41	382	4171
42	390	4146
43	396	4111
44	405	4103
45	415	4099
46	424	4092
47	432	4075
48	439	4044
49	446	4015
50	454	4002
51	461	3974
52	469	3960
53	476	3936
54	485	3925
55	493	3909
56	502	3908
57	509	3882
58	518	3876
59	526	3860
60	535	3853
61	542	3833
62	551	3825
63	557	3801
64	566	3791
65	573	3769
66	582	3766
67	589	3743
68	597	3729
69	603	3709
70	611	3695
71	618	3676
72	624	3655
73	634	3650
74	644	3652
75	651	3633
76	658	3617
77	665	3602
78	672	3582
79	681	3575
80	687	3557
81	696	3552
82	703	3534
83	711	3526
84	718	3509
85	727	3501
86	736	3494
87	747	3497
88	753	3480
89	761	3471
90	768	3455
91	777	3447
92	783	3430
93	791	3419
94	798	3403
95	805	3391
96	812	3375
97	818	3358
98	827	3350
99	833	3334
100	842	3329
101	850	3318
102	858	3310
103	865	3294
104	873	3285
105	880	3271
106	888	3262
107	894	3248
108	901	3234
109	909	3224
110	915	3209
111	924	3202
112	930	3188
113	939	3182
114	947	3171
115	956	3165
116	962	3152
117	972	3149
118	980	3138
119	989	3134
120	997	3124
121	1007	3120
122	1014	3109
123	1025	3109
124	1036	3108
125	1045	3102
126	1053	3095
127	1060	3082
128	1069	3075
129	1075	3062
130	1083	3051
131	1090	3038
132	1097	3027
133	1103	3015
134	1110	3001
135	1118	2994
136	1125	2981
137	1133	2973
138	1142	2966
139	1151	2959
140	1158	2949
141	1166	2941
142	1173	2930
143	1183	2924
144	1190	2914
145	1200	2910
146	1208	2902
147	1218	2897
148	1225	2886
149	1234	2880
150	1249	2888
151	1260	2886
152	1269	2879
153	1280	2876
154	1288	2867
155	1346	2968
156	1362	2977
157	1395	3021
158	1412	3029
159	1452	3085
160	1468	3092
161	1485	3098
162	1503	3108
163	1535	3145
164	1562	3172
165	1579	3177
166	1593	3177
167	1602	3166
168	1645	3222
169	1655	3214
170	1665	3203
171	1674	3194
172	1682	3180
173	1692	3170
174	1699	3157
175	1709	3146
176	1716	3132
177	1725	3121
178	1733	3108
179	1741	3096
180	1748	3081
181	1758	3071
182	1764	3057
183	1774	3047
184	1782	3035
185	1790	3022
186	1796	3007
187	1805	2996
188	1812	2982
189	1821	2971
190	1828	2957
191	1836	2945
192	1843	2931
193	1851	2919
194	1857	2905
195	1864	2892
196	1872	2879
197	1879	2867
198	1886	2853
199	1893	2840
200	1901	2829
201	1908	2815
202	1916	2803
203	1923	2790
204	1930	2778
205	1937	2764
206	1943	2750
207	1951	2739
208	1958	2726
209	1966	2716
210	1972	2702
211	1981	2692
212	1991	2683
213	1999	2672
214	2006	2659
215	2014	2648
